G: 3, P: 3, M: 13,PKTLEN: 128, GENER_SPEED: 1751.05, CPU_USAGE: 73.6078, MEM_USAGE: 26.4856, Perfor: 0.898183
G: 3, P: 3, M: 13,PKTLEN: 256, GENER_SPEED: 3759.82, CPU_USAGE: 73.8922, MEM_USAGE: 28.2033, Perfor: 1.80413
G: 3, P: 3, M: 13,PKTLEN: 512, GENER_SPEED: 7239.98, CPU_USAGE: 74.9356, MEM_USAGE: 28.7089, Perfor: 3.36537
G: 3, P: 3, M: 13,PKTLEN: 1024, GENER_SPEED: 11403.9, CPU_USAGE: 76.19, MEM_USAGE: 28.74, Perfor: 5.20797
G: 3, P: 3, M: 13,PKTLEN: 1280, GENER_SPEED: 13675.3, CPU_USAGE: 75.9822, MEM_USAGE: 28.74, Perfor: 6.26236
G: 3, P: 3, M: 13,PKTLEN: 1500, GENER_SPEED: 16432.1, CPU_USAGE: 76.76, MEM_USAGE: 28.75, Perfor: 7.44595
G: 3, P: 3, M: 15,PKTLEN: 64, GENER_SPEED: 898.925, CPU_USAGE: 81.2822, MEM_USAGE: 25.3689, Perfor: 0.43594
G: 3, P: 3, M: 15,PKTLEN: 128, GENER_SPEED: 1986.55, CPU_USAGE: 80.92, MEM_USAGE: 30.4111, Perfor: 0.807256
G: 3, P: 3, M: 15,PKTLEN: 256, GENER_SPEED: 4038.82, CPU_USAGE: 81.7456, MEM_USAGE: 32.5422, Perfor: 1.51825
G: 3, P: 3, M: 15,PKTLEN: 512, GENER_SPEED: 7147.38, CPU_USAGE: 82.3844, MEM_USAGE: 33.0978, Perfor: 2.62122
G: 3, P: 3, M: 15,PKTLEN: 1024, GENER_SPEED: 11255.5, CPU_USAGE: 83.7011, MEM_USAGE: 33.16, Perfor: 4.05526
G: 3, P: 3, M: 15,PKTLEN: 1280, GENER_SPEED: 15194.7, CPU_USAGE: 82.83, MEM_USAGE: 33.16, Perfor: 5.5321
G: 3, P: 3, M: 15,PKTLEN: 1500, GENER_SPEED: 17561, CPU_USAGE: 85.0244, MEM_USAGE: 33.16, Perfor: 6.22861
G: 4, P: 4, M: 3,PKTLEN: 64, GENER_SPEED: 871.25, CPU_USAGE: 45.0144, MEM_USAGE: 5.72, Perfor: 3.38373
G: 4, P: 4, M: 3,PKTLEN: 128, GENER_SPEED: 1609.58, CPU_USAGE: 44.8956, MEM_USAGE: 6.63444, Perfor: 5.40387
G: 4, P: 4, M: 3,PKTLEN: 256, GENER_SPEED: 2788.57, CPU_USAGE: 45.2178, MEM_USAGE: 6.64, Perfor: 9.28761
G: 4, P: 4, M: 3,PKTLEN: 512, GENER_SPEED: 4369.57, CPU_USAGE: 45.7211, MEM_USAGE: 6.65, Perfor: 14.3714
